"","OID_","iso","Language","Family","gFam","Autotyp.area","Region","Number.of.tones","specH.mean"
"481",2598,"bqq","Biritai","Lakes Plains","Lakes_Plain","New Guinea Highlands ","Pacific",5,0.0182960252874903
"482",839,"bom","Birom","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0149418736264569
"483",2107,"bib","Bisa","Mande","Mande","West Africa ","Africa",3,0.0138192924409479
"484",2599,"bsb","Bisayah_Sarawak","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.018413293978244
"485",998,"bii","Bisu","Tibeto-Burman",NA,"Southeast Asia ","Eurasia",4,0.0147205296447164
"486",2600,"blp","Blablanga","Austronesian","Austronesian","Pacific ","Pacific",0,0.0191607352758353
"487",2601,"blp-2","Blablanga_Ghove","Austronesian","Austronesian","Pacific ","Pacific",0,0.0191607352758353
"488",3682,"blt","Black_Tai","Tai-Kadai","Tai-Kadai","Southeast Asia ","Eurasia",6,0.0159642177107615
"489",49,"bla","Blackfoot","Algic","Algic","Western North America ","North America",0,0.00501623040501165
"490",2602,"beu","Blagar","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",0,0.0180646842055167
"491",1528,"blr","Blang","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",2,0.0127566820036908
"492",673,"kvg","Boazi","Marind","Anim","South New Guinea ","Pacific",2,0.0194966563791764
"493",2603,"kvg-2","Boazi_Kuni","Marind","Anim","South New Guinea ","Pacific",2,0.0194966563791764
"494",749,"bni","Bobangi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0173935131701632
"495",2012,"bbo","Bobo-Fing","Mande","Mande","West Africa ","Africa",7,0.0137315616326729
"496",1507,"bgb","Bobongko","Austronesian","Austronesian","Pacific ","Pacific",0,0.0177757728030303
"497",3428,"bty","Bobot","Austronesian","Austronesian","Pacific ","Pacific",0,0.0188360046717172
"498",2605,"boq","Bogaya","Trans New Guinea","Bogaya","New Guinea Highlands ","Pacific",0,0.0179879601573427
"499",2606,"bxh","Bohutu","Austronesian","Austronesian","South New Guinea ","Pacific",0,0.0183432960975136
"500",2607,"bzf","Boiken","Sepik","Ndu","North New Guinea ","Pacific",0,0.0174953291414141
"501",1391,"adi-2","Bokar","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",0,0.0111397989990287
"502",2608,"bnp","Bola","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.018705178467366
"503",2108,"bol","Bole","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",2,0.0122868704384227
"504",2609,"smk","Bolinao","Austronesian","Austronesian","Pacific ","Pacific",0,0.0190760986208236
"505",4152,"ply","Bolyu","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",5,0.0122853852439782
"506",3683,"bfw-2","Bonda","Austro-Asiatic","Austroasiatic","South Asia ","Eurasia",0,0.0130771218424631
"507",2109,"bou","Bondei","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0129499519599845
"508",2610,"bdg","Bonggi","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.0189074556701632
"509",855,"bot","Bongo","Nilo-Saharan","Central_Sudanic","West Africa ","Africa",3,0.0156155664749417
"510",290,"bnc","Bontok","Austronesian",NA,"Pacific ","Pacific",0,0.0186778298756799
"511",2110,"bvf","Bor","Nilo-Saharan","Afro-Asiatic","West Africa ","Africa",2,0.0164602959197747
"512",664,"bor","Bor?ro","Macro-Je",NA,"Amazon ","South America",0,0.0142422440425408
"513",3458,"boa","Bora","Witoto","Boran","Amazon ","South America",0,0.0184324251146076
"514",3421,"adi-7","Bori","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0111397989990287
"515",3684,"scy","Bornholmsk","Indo-European","Indo-European","Europe ","Eurasia",0,0.00639655109498834
"516",971,"brx","Boro","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0134201578290598
"517",2611,"ksr","Borong_Kosorong","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.016431737020202
"518",2612,"bco","Bosavi","Trans New Guinea","Bosavi","New Guinea Highlands ","Pacific",0,0.0179879601573427
"519",3685,"bos","Bosnian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00900058436363636
"520",2613,"kbx-2","Botin_Samban","Lower Sepik-Ramu","Botin","North New Guinea ","Pacific",0,0.0173973739607615
"521",3686,"bph","Botlikh","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00654397926787102
"522",2615,"bye","Bouye","Sepik","Sepik","North New Guinea ","Pacific",0,0.0175709102758353
"523",1483,"khg-2","Brag-g.yab","Tibeto-Burman","Sino-Tibetan","Northern Eurasia ","Eurasia",0,0.00683346576573427
"524",496,"brh","Brahui","Dravidian","Dravidian","South Asia ","Eurasia",0,0.00496337656041181
"525",233,"brb","Brao","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0171501788325563
"526",554,"bre","Breton","Indo-European","Indo-European","Europe ","Eurasia",0,0.00872852062567988
"527",477,"bzd","Bribri","Chibchan","Chibchan","Central America ","North America",0,0.0186325900135975
"528",1344,"sgt","Brokpa","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0134201578290598
"529",2013,"brv","Bru_Western","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0168488287801088
"530",3687,"bru","Bruu","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",2,0.0168488287801088
"531",2616,"bzh","Buang_Central","Austronesian","Austronesian","New Guinea Highlands ","Pacific",0,0.0174866709770785
"532",2617,"bdx","Budong-bundong","Austronesian","Austronesian","Pacific ","Pacific",0,0.0183610256682207
"533",7,"bdm","Buduma","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",0,0.0100615103611111
"534",3688,"bdk","Budux","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00703468112956488
"535",3689,"bbh","Bugan","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",2,0.0138881765689588
"536",2618,"bgt","Bughotu","Austronesian","Austronesian","Pacific ","Pacific",0,0.0191607352758353
"537",408,"bug","Bugis","Austronesian","Austronesian","Pacific ","Pacific",0,0.0185419442890443
"538",1345,"bgn","Bugun","Tibeto-Burman","Indo-European","South Asia ","Eurasia",2,0.0134201578290598
"539",2619,"bku","Buhid","Austronesian","Austronesian","Pacific ","Pacific",0,0.01891040246115
"540",510,"buo","Buin","East Bougainville","South_Bougainville","Pacific ","Pacific",2,0.0190899393609169
"541",2620,"buk","Bukawa","Austronesian","Austronesian","North New Guinea ","Pacific",2,0.016431737020202
"542",1067,"ape","Bukiyip_Arapesh","Torricelli","Nuclear_Torricelli","North New Guinea ","Pacific",0,0.0174953291414141
"543",156,"yil","Bularnu","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00595879877428127
"544",608,"bul","Bulgarian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00697476707983683
"545",402,"bzq","Buli","Austronesian","Austronesian","Pacific ","Pacific",0,0.0187525773698524
"546",2111,"bum","Bulu","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0171731030205905
"547",306,"tkw","Buma","Austronesian","Austronesian","Pacific ","Pacific",0,0.0190693058041958
"548",1068,"aon","Bumbita_Arapesh","Torricelli","Nuclear_Torricelli","North New Guinea ","Pacific",0,0.0174953291414141
"549",1513,"kjz","Bumthang","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0134201578290598
"550",2621,"bdd","Bunama","Austronesian","Austronesian","South New Guinea ","Pacific",0,0.0183915247261072
"551",2160,"bfu","Bunan","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0110403132074592
"552",1305,"bfn","Bunaq","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",2,0.0180467343240093
"553",2622,"bfn-2","Bunaq_Lolotoen","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",2,0.0180467343240093
"554",2623,"bfn-3","Bunaq_South","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",2,0.0180467343240093
"555",2360,"xbg","Bunganditj","Pama-Nyungan",NA,"Australia ","Australia",0,0.00737974620454545
"556",2624,"bkz","Bungku","Austronesian","Austronesian","Pacific ","Pacific",0,0.0184522470143745
"557",3644,"buh","Bunu","Hmong-Mien","Hmong-Mien","Southeast Asia ","Eurasia",8,0.013779116725913
"558",114,"bck","Bunuba","Bunuban","Bunaban","Northern Australia ","Australia",0,0.0103105789188034
"559",1306,"bnn","Bunun","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.017203714020979
"560",2625,"bnn-2","Bunun_Isbukun","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.017203714020979
"561",2626,"blf","Buol","Austronesian","Austronesian","Pacific ","Pacific",0,0.0184355405439005
"562",2112,"bwr","Bura","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",2,0.0141151733298368
"563",116,"bvr","Burarra","Maningrida","Maningrida","Northern Australia ","Australia",0,0.0157685866274281
"564",2113,"bji","Burji","Afro-Asiatic","Afro-Asiatic","Ethiopia ","Africa",0,0.0127948201095571
"565",2627,"vrt","Burmbar","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"566",999,"mya","Burmese","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",4,0.0175586729273504
"567",2628,"bzu","Burmeso","Burmeso","Burmeso","New Guinea Highlands ","Pacific",0,0.0182464219522145
"568",267,"mhs","Buru","Austronesian","Austronesian","Pacific ","Pacific",0,0.0188879211752137
"569",2629,"bmu","Burum","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.016431737020202
"570",455,"bsk","Burushaski","Burushaski","Burushaski","South Asia ","Eurasia",0,0.00519232456216006
"571",59,"bxm","Buryat","Mongolic","Mongolic","Northern Eurasia ","Eurasia",0,0.00467489146497669
"572",801,"bqp","Busa","Mande","Mande","West Africa ","Africa",2,0.0159099737643745
"573",750,"buf","Bushong","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0165766199310412
"574",2630,"bup","Busoa","Austronesian","Austronesian","Pacific ","Pacific",0,0.0186075924747475
"575",2631,"bnr","Butmas Tur","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"576",3395,"bhs","Buwal","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",3,0.0133330583438228
"577",1542,"jiy","Buyuan Jino","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0136582032284382
"578",2632,"bwd","Bwaidoka","Austronesian","Austronesian","South New Guinea ","Pacific",0,0.0183432960975136
"579",977,"bee","Byansi","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.00975631949980575
"580",3966,"xxx-16","B?siro","Macro-Je",NA,"Amazon ","South America",0,0.0135536504864025
"581",2010,"btg","B?t?","Niger-Kongo",NA,"West Africa ","Africa",4,0.0181313548445998
"582",2633,"msq","Caac","Austronesian","Austronesian","Pacific ","Pacific",0,0.0150988171503496
"583",3967,"cbb","Cabiyar?","Arawak",NA,"Amazon ","South America",0,0.0180299208216783
"584",2014,"cbv","Cacua","Nadahup","Kakua-Nukak","Amazon ","South America",4,0.0182160281002331
"585",1503,"cad","Caddo","Caddoan","Caddoan","Western North America ","North America",3,0.011846497798174
"586",1191,"chl","Cahuilla","Uto-Aztecan","Uto-Aztecan","California ","North America",0,0.00970401566608392
"587",678,"ckf","Cakchiquel","Mayan",NA,"Central America ","North America",0,0.0184131461752137
"588",4147,"rmq","Cal?","Indo-European",NA,"Europe ","Eurasia",0,0.00891031160586636
"589",3459,"caw","Callahuaya","Puquina",NA,"Andes ","South America",0,0.00812573959537684
"590",978,"rab","Camling","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",0,0.0136147084446387
"591",102,"cni","Campa","Arawak","Arawakan","Andes ","South America",0,0.0096493647968143
"592",459,"kbh","Camsﬂ","Camsﬂ",NA,"Andes ","South America",2,0.0150354835897436
"593",460,"cbu","Candoshi","Candoshi","Candoshi-Shapra","Andes ","South America",0,0.0152246995221445
"594",666,"ram","Canela-Krah?","Macro-Je",NA,"Amazon ","South America",0,0.0164555461318959
"595",1003,"yue","Cantonese","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0154779265642968
"596",3691,"jya-2","Caodeng_rGyalrong","Tibeto-Burman",NA,"Southeast Asia ","Eurasia",3,0.00530402206779332
"597",916,"kaq","Capanahua","Panoan","Pano-Tacanan","Amazon ","South America",3,0.0141445273038073
"598",3969,"cot","Caquinte","Arawak","Arawakan","Andes ","South America",0,0.0096493647968143
"599",254,"caq","Car","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0189531796969697
"600",1144,"cbc","Carapana","Tucanoan","Tucanoan","Amazon ","South America",2,0.0180299208216783
"601",462,"car","Carib","Cariban","Cariban","Amazon ","South America",0,0.016581494450272
"602",3793,"cbd-2","Carijona","Cariban","Cariban","Amazon ","South America",0,0.0180299208216783
"603",2634,"cal","Carolinian","Austronesian","Austronesian","Pacific ","Pacific",0,0.0192253727233877
"604",3460,"crx","Carrier","Na-Dene","Athapaskan-Eyak-Tlingit","Pacific Northwest ","North America",2,0.00522425518414918
"605",917,"cbr","Cashibo-Cacataibo","Panoan","Pano-Tacanan","Andes ","South America",2,0.0101520904520202
"606",3461,"cbs","Cashinahua","Panoan","Pano-Tacanan","Amazon ","South America",0,0.0159249024825175
"607",599,"cat","Catalan","Indo-European","Indo-European","Europe ","Eurasia",0,0.0106998465027195
"608",3462,"cav","Cavine±a","Tacanan",NA,"Amazon ","South America",0,0.0164328499067599
"609",444,"cbi","Cayapa","Barbacoan","Barbacoan","Andes ","South America",0,0.0152617957770008
"610",3463,"cay","Cayuga","Iroquoian","Iroquoian","Eastern North America ","North America",0,0.00763722998329448
"611",468,"cyb","Cayuvava","Cayuvava","Cayuvava","Amazon ","South America",0,0.0164328499067599
"612",284,"ceb","Cebuano","Austronesian","Austronesian","Pacific ","Pacific",0,0.0185754732964258
"613",307,"cam","Cemuhi","Austronesian","Austronesian","Pacific ","Pacific",3,0.0150983943958819
"614",2114,"cme","Cerma","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",0,0.0155780711740482
"615",1493,"cgk","Ch˜cangacakha","Tibeto-Burman",NA,"South Asia ","Eurasia",5,0.0134201578290598
"616",4179,"cgk-2","Ch˜cangacakha-2","Tibeto-Burman",NA,"South Asia ","Eurasia",5,0.0134201578290598
"617",3465,"cbi-2","Cha'palaachi","Barbacoan",NA,"Andes ","South America",0,0.0139148980205905
"618",918,"cao","Chacobo","Panoan","Pano-Tacanan","Amazon ","South America",0,0.0156293154079254
"619",34,"sgw","Chaha","Afro-Asiatic","Afro-Asiatic","Ethiopia ","Africa",0,0.0125021268723776
"620",4170,"svm","Chakavian","Indo-European","Indo-European","Europe ","Eurasia",3,0.00931270212373737
"621",2064,"tgf","Chali","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0134201578290598
"622",422,"cjm","Cham_Eastern","Austronesian","Austronesian","Southeast Asia ","Eurasia",2,0.018136469965035
"623",423,"cja","Cham_Western","Austronesian","Austronesian","Southeast Asia ","Eurasia",0,0.0187591800621601
"624",3466,"ese-2","Chama","Tacanan","Pano-Tacanan","Amazon ","South America",0,0.0164328499067599
"625",3971,"ceg","Chamacoco","Zamucoan","Zamucoan","Patagonia ","South America",0,0.0122344340942113
"626",3692,"cji","Chamalal_Gigatil","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00654397926787102
"627",3693,"cji-2","Chamalal_Nizhnee Gakvari","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00654397926787102
"628",661,"can","Chambri","Lower Sepik-Ramu","Lower_Sepik-Ramu","North New Guinea ","Pacific",0,0.0174953291414141
"629",3861,"ccc","Chamicuro","Arawak","Arawakan","Amazon ","South America",0,0.0134748199106449
"630",281,"cha","Chamorro","Austronesian","Austronesian","Pacific ","Pacific",0,0.0194713158352758
"631",3694,"nan-5","Changchow","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",7,0.0149762615592463
"632",3695,"hsn","Changsha","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0129849536722999
"633",3696,"cmn-3","Changzhi","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",7,0.00815649279662005
"634",979,"chx","Chantyal","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",0,0.0106403479203574
"635",3697,"nan-2","Chaozhou","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",7,0.016737222736014
"636",3467,"ess-2","Chaplino","Eskimo-Aleut","Eskimo-Aleut","Pacific Northwest ","North America",0,0.00330228918558664
"637",3468,"ess-3","Chaplino_Alaska","Eskimo-Aleut","Eskimo-Aleut","Pacific Northwest ","North America",0,0.00347934878601399
"638",2116,"cra","Chara","Afro-Asiatic","Ta-Ne-Omotic","Ethiopia ","Africa",0,0.0141407516427739
"639",912,"ctp","Chatino","Otomanguean","Otomanguean","Central America ","North America",6,0.0161145737160062
"640",3469,"ctp-2","Chatino_Yaitepec","Otomanguean","Otomanguean","Central America ","North America",10,0.0161145737160062
"641",3698,"cwg","Che'_Wong","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0183690177583528
"642",726,"che","Chechen","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00654397926787102
"643",2935,"mrn","Cheke Holo_Maringe","Austronesian","Austronesian","Pacific ","Pacific",0,0.0191607352758353
"644",3470,"xch","Chemakum","Chimakuan","Chimakuan","Pacific Northwest ","North America",0,0.0071591282503885
"645",1183,"ute-3","Chemehuevi","Uto-Aztecan","Uto-Aztecan","Western North America ","North America",0,0.0060021121021756
"646",2636,"cjn","Chenapian","Sepik","Sepik","North New Guinea ","Pacific",2,0.0174953291414141
"647",3699,"jeg","Cheng","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0167422589724165
"648",4124,"xxx-109","Chengfeng","Hmong-Mien",NA,"Southeast Asia ","Eurasia",8,0.0126287145367133
"649",3700,"wuu-10","Chengqiao","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0118334952012432
"650",980,"cdm","Chepang","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",2,0.0126320440712898
"651",3701,"mrj","Cheremis","Mongolic","Uralic","Northern Eurasia ","Eurasia",0,0.0053554490999223
"652",621,"chr","Cherokee","Iroquoian","Iroquoian","Eastern North America ","North America",2,0.0109261364413364
"653",3471,"chy","Cheyenne","Algic","Algic","Western North America ","North America",2,0.00488922567540793
"654",2015,"cic","Chickasaw","Muskogean","Muskogean","Eastern North America ","North America",2,0.0114853454009324
"655",3758,"gui-2","Chiguano_Izoce±o","Tupi",NA,"Patagonia ","South America",0,0.0121799510742036
"656",3472,"clc","Chilcotin","Na-Dene","Athapaskan-Eyak-Tlingit","Pacific Northwest ","North America",2,0.00606284719405594
"657",530,"cid","Chimariko","Chimariko","Chimariko","California ","North America",0,0.00820180974864025
"658",3473,"cbg","Chimila","Chibchan","Chibchan","Amazon ","South America",0,0.0161849298717949
"659",2117,"swh-2","Chimwiini","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0172261547979798
"660",1552,"dao","Chin_Daai","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",2,0.017191612972028
"661",1376,"cfm","Chin_Falam","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",4,0.0144618797727273
"662",1014,"ctd","Chin_Tiddim","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",4,0.0144618797727273
"663",4116,"cmn-5","Chinese_Liao","Tibeto-Burman","Sino-Tibetan","Northern Eurasia ","Eurasia",4,0.00691198091103341
"664",1298,"chh","Chinook","Chinook","Chinookan","Pacific Northwest ","North America",0,0.00720213433158508
"665",751,"nya","ChiNyanja","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0115574432618493
"666",3474,"cap","Chipaya","Uru-Chipaya","Uru-Chipaya","Andes ","South America",0,0.00798657336868687
"667",703,"chp","Chipewyan","Na-Dene","Athapaskan-Eyak-Tlingit","Eastern North America ","North America",2,0.00453364540543901
"668",481,"cax","Chiquitano","Chiquitano","Chiquitano","Amazon ","South America",0,0.0135536504864025
"669",704,"apm","Chiricahua","Na-Dene","Athapaskan-Eyak-Tlingit","Western North America ","North America",2,0.00493242204215229
"670",3972,"gui-2","Chiriguano_Chan?","Tupi",NA,"Amazon ","South America",0,0.0135536504864025
"671",482,"ctm","Chitimacha","Chitimacha","Chitimacha","Eastern North America ","North America",2,0.01538925749223
"672",700,"cho","Choctaw","Muskogean","Muskogean","Eastern North America ","North America",2,0.0127240655932401
"673",2118,"cbo","Chokobo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0149418736264569
"674",2119,"cjk","Chokwe","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0126250523863636
"675",486,"cht","Cholon","Cholon","Hibito-Cholon","Andes ","South America",0,0.0128832080780886
"676",3475,"xxx-39","Chono","Chonan",NA,"Patagonia ","South America",0,0.00641316457672883
"677",679,"chd","Chontal","Mayan",NA,"Central America ","North America",0,0.0159898933411033
"678",1060,"clo","Chontal","Tequistlatecan",NA,"Central America ","North America",0,0.0185677686790987
"679",2120,"cce","Chopi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.014028110534188
"680",3476,"crq","Chorote","Matacoan","Matacoan","Patagonia ","South America",0,0.0123294733624709
"681",3477,"caa","Chorti","Mayan","Mayan","Central America ","North America",0,0.0158245278593629
"682",234,"crw","Chrau","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0181261285586636
"683",2637,"cje","Chru","Austronesian","Austronesian","Southeast Asia ","Eurasia",0,0.018136469965035
"684",2638,"cjv","Chuave","Trans New Guinea","Nuclear_Trans_New_Guinea","New Guinea Highlands ","Pacific",4,0.0169529563714064
"685",680,"cac","Chuj","Mayan","Mayan","Central America ","North America",0,0.0169066000524476
"686",3478,"cnm","Chuj_Ixtatﬂn","Mayan",NA,"Central America ","North America",0,0.0169066000524476
"687",489,"ckt","Chukchi","Chukotko-Kamchatkan","Chukotko-Kamchatkan","North Pacific ","Eurasia",0,0.00292755412997281
"688",492,"boi","Chumash","Chumash","Chumashan","California ","North America",0,0.00920463888694639
"689",308,"chk","Chuukese","Austronesian","Austronesian","Pacific ","Pacific",0,0.0194050294133644
"690",76,"chv","Chuvash","Turkic","Turkic","Northern Eurasia ","Eurasia",0,0.00547449185635198
"691",3479,"pxm","Chuxnabﬂn Mixe","Mixe-Zoque",NA,"Central America ","North America",2,0.0160060400019425
"692",2639,"cia","Ciacia","Austronesian","Austronesian","Pacific ","Pacific",0,0.0186075924747475
"693",2121,"awc","Cicipu","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",0,0.0137932377480575
"694",1436,"lua","CiLuba","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0148538743059441
"695",2640,"tml","Citak","Trans New Guinea","Nuclear_Trans_New_Guinea","South New Guinea ","Pacific",0,0.0189198293822844
"696",3480,"clm","Clallam","Salish","Salishan","Pacific Northwest ","North America",0,0.0071591282503885
"697",1548,"xxx-96","Classical Malay","Austronesian",NA,"Southeast Asia ","Eurasia",0,0.0186636443997669
"698",1350,"xct","Classical Tibetan","Tibeto-Burman","Sino-Tibetan","Northern Eurasia ","Eurasia",0,0.00354337199399767
"699",493,"xxx-6","Coahuilteco","Coahuilteco",NA,"Western North America ","North America",2,0.00924876875505051
"700",1156,"cod","Cocama-Cocamilla","creole","Tupian","Amazon ","South America",0,0.0164238519036519
"701",539,"coc","Cocopa","Yuman","Cochimi-Yuman","California ","North America",0,0.00646814211771562
"702",952,"crd","Coeur d'Alene","Salish","Salishan","Western North America ","North America",0,0.00516837514374514
"703",3481,"con","Cofan","Chibchan","Cofan","Andes ","South America",2,0.0147417203554779
"704",1267,"jya","Cogtse Gyarong","Tibeto-Burman",NA,"Northern Eurasia ","Eurasia",0,0.00530402206779332
"705",2361,"xxx-73","Colac","Pama-Nyungan",NA,"Australia ","Australia",0,0.0080868630499223
"706",1184,"com","Comanche","Uto-Aztecan","Uto-Aztecan","Western North America ","North America",0,0.00769758625330225
"707",949,"coo","Comox","Salish","Salishan","Pacific Northwest ","North America",0,0.00695018241686092
"708",907,"csz","Coos","Oregon Coast","Coosan","Pacific Northwest ","North America",0,0.00752633479623155
"709",22,"cop","Coptic","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00612981314083139
"710",1180,"crn","Cora","Uto-Aztecan","Uto-Aztecan","Central America ","North America",2,0.0115233385196193
"711",555,"cor","Cornish","Indo-European","Indo-European","Europe ","Eurasia",0,0.00786733314005439
"712",4106,"cos","Corsican","Indo-European","Indo-European","Europe ","Eurasia",0,0.0107271099630925
"713",2641,"mta","Cotabato Manobo_Kalamansig","Austronesian","Austronesian","Pacific ","Pacific",0,0.0190148113714064
"714",3482,"cow","Cowlitz","Salish","Salishan","Pacific Northwest ","North America",0,0.00720213433158508
"715",3561,"crm","Cree_Moose","Algic","Algic","Eastern North America ","North America",0,0.00492238268966589
"716",51,"crk","Cree_Plains","Algic","Algic","Western North America ","North America",0,0.00444782157255245
"717",3609,"csw","Cree_Swampy","Algic","Algic","Eastern North America ","North America",0,0.00384169939722222
"718",50,"cwd","Cree_Woods","Algic","Algic","Eastern North America ","North America",0,0.00437816297249417
"719",1565,"mus","Creek","Muskogean","Muskogean","Eastern North America ","North America",3,0.0126482101000388
"720",3703,"hrv","Croatian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00787739542793318
"721",1028,"cro","Crow","Siouan","Siouan","Western North America ","North America",2,0.00433123949028749
"722",235,"cua","Cua","Austro-Asiatic","Austroasiatic","Southeast Asia ","Eurasia",0,0.0163622158080808
"723",1145,"cub","Cubeo","Tucanoan","Tucanoan","Amazon ","South America",2,0.0182160281002331
"724",1062,"cui-2","Cuiba","Guahiban",NA,"Amazon ","South America",0,0.0170847437975913
"725",521,"yuz","Cuiba","Yurakare",NA,"Amazon ","South America",0,0.0102040493851981
"726",3483,"qpb","Cuitlatec","Cuitlatec",NA,"Central America ","North America",0,0.0186481253069153
"727",4057,"esu-2","Cup'ik","Eskimo-Aleut","Eskimo-Aleut","Pacific Northwest ","North America",0,0.00396905119308469
"728",1332,"cup","Cupe±o","Uto-Aztecan",NA,"California ","North America",0,0.00832576455963481
"729",3396,"cuv","Cuvok","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",0,0.0118947903034188
"730",609,"ces","Czech","Indo-European","Indo-European","Europe ","Eurasia",0,0.00654143249941725
"731",2642,"kzf","Da'a","Austronesian","Austronesian","Pacific ","Pacific",0,0.0183610256682207
"732",2122,"dbq","Daba","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",0,0.0133330583438228
"733",4111,"xdc","Dacian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00872656658780109
"734",2016,"mps","Dadibi","Trans New Guinea","Teberan","New Guinea Highlands ","Pacific",2,0.0169529563714064
"735",1532,"gal-2","Dadua","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179713804506604
"736",494,"dgz","Daga","Trans New Guinea","Dagan","South New Guinea ","Pacific",0,0.0182786253146853
"737",806,"dga","Dagaare","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0138160821025641
